trip_id,stop_sequence,stop_id,stop_headsign,arrival_time,departure_time,pickup_type,drop_off_type,timepoint,shape_dist_traveled,fare_units_traveled
20000000,1,2000000,,06:00:00,06:00:00,0,0,1,0,0
20000000,2,2000010,,06:02:36,06:02:54,0,0,0,1671,1671
20000000,3,2000020,,06:05:49,06:06:07,0,0,0,3455,3455
20000000,4,2000030,,06:07:43,06:08:01,0,0,0,4432,4432
20000000,5,2000040,,06:09:56,06:10:14,0,0,0,5609,5609
20000000,6,2000050,,06:11:32,06:11:50,0,0,0,6408,6408
20000000,7,2000060,,06:14:01,06:14:19,0,0,0,7744,7744
20000000,8,2000070,,06:16:51,06:16:51,1,0,0,9329,9329
20000001,1,2000071,,06:00:00,06:00:00,0,0,1,0,0
20000001,2,2000061,,06:02:35,06:02:53,0,0,0,1585,1585
20000001,3,2000051,,06:05:04,06:05:22,0,0,0,2921,2921
20000001,4,2000041,,06:06:40,06:06:58,0,0,0,3720,3720
20000001,5,2000031,,06:08:53,06:09:11,0,0,0,4897,4897
20000001,6,2000021,,06:10:47,06:11:05,0,0,0,5874,5874
20000001,7,2000011,,06:14:00,06:14:18,0,0,0,7658,7658
20000001,8,2000001,,06:16:58,06:16:58,1,0,0,9329,9329
